month,sector,article_count,covered_tickers,hhi,breadth
2023-09,Tech,1182,5,0.308001294087,0.649347921063
2023-09,Utilities,174,5,0.255780155899,0.781921487603
2023-10,Comm,305,5,0.308508465466,0.648280427889
2023-10,Consumer,667,5,0.229933758758,0.869815729019
2023-10,Energy,749,5,0.279049413459,0.716718940638
2023-10,Financials,597,5,0.228279869476,0.876117550178
2023-10,Healthcare,419,5,0.212820615057,0.939758584696
2023-10,Industrials,497,5,0.224497892789,0.890876958866
2023-10,Materials,180,5,0.218209876543,0.916548797737
2023-10,RealEstate,218,5,0.223676458211,0.894148635936
2023-10,Tech,1255,5,0.319622228219,0.625738707582
2023-10,Utilities,213,5,0.309484449734,0.646236023075
2023-11,Comm,239,5,0.223963165911,0.893003986555
2023-11,Consumer,725,5,0.245427824019,0.814903529375
2023-11,Energy,434,5,0.264063794092,0.757392737947
2023-11,Financials,347,5,0.238794442276,0.837540430564
2023-11,Healthcare,308,5,0.216478326868,0.923880015582
2023-11,Industrials,371,5,0.281202548659,0.711231107092
2023-11,Materials,131,5,0.218227376027,0.916475300401
2023-11,RealEstate,168,5,0.273030045351,0.732520114197
2023-11,Tech,1152,5,0.345894519194,0.578210954213
2023-11,Utilities,181,5,0.274136931107,0.729562409531
2023-12,Comm,196,5,0.272542690546,0.733829990449
2023-12,Consumer,283,5,0.212501092535,0.941171631706
2023-12,Energy,321,5,0.295561960773,0.676677064521
2023-12,Financials,247,5,0.24794702421,0.806623917499
2023-12,Healthcare,201,5,0.226306279548,0.88375806628
2023-12,Industrials,222,5,0.238982225469,0.836882322975
2023-12,Materials,63,5,0.206853111615,0.966869671133
2023-12,RealEstate,126,5,0.23544973545,0.849438202247
2023-12,Tech,804,5,0.25712544244,0.777830455448
2023-12,Utilities,89,5,0.259941926524,0.769402622632
